isbn,book_title,book_author,year_of_publication,Summary,Language,Category,img_l,average_rating
0399135782,The Kitchen God's Wife,Amy Tan,1991.0,"A Chinese immigrant who is convinced she is dying threatens to
celebrate the Chinese New Year by unburdening herself of
everybody&#39;s hidden truths, thus prompting a series of comic
misunderstandings",en,Fiction,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,3.5
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000.0,"Essays by respected military historians, including Stephen Ambrose,
David McCullough, James McPherson, and John Keegan, consider the
consequences if history had turned out differently, such as if the
weather on D-Day had been worse or if ...",en,History,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,3.0
0771074670,Nights Below Station Street,David Adams Richards,1988.0,Another story based in the fictional rural town in Miramichi.,en,Fiction,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,3.0
0440234743,The Testament,John Grisham,1999.0,"A suicidal billionaire, a burnt-out Washington litigator, and a woman
who has forsaken technology to work in the wilds of Brazil are all
brought together by an astounding mystery of the testament",en,Fiction,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,3.3
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,"Staring unflinchingly into the abyss of slavery, this novel transforms
history into a story as powerful as Exodus and as intimate as a
lullaby.",en,Fiction,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,3.3
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999.0,"The staff of The Onion presents a satirical collection of mock
headlines and news stories, including an account of the Pentagon&#39;s
development of an A-bomb-resistant desk for schoolchildren",en,Humor,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,3.8
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001.0,"In New Vegetarian Celia Brooks Brown presents an innovative approach
to vegetarian cooking.",en,Cooking,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,3.1
0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999.0,"As explained by the kids themselves, this book offers a collection of
true stories that deal with moments of embarrassment and awkwardness
while providing tips and advice on how to handle such difficult
situations when they arise.",en,Juvenile fiction,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,3.1
0971880107,Wild Animus,Rich Shapero,2004.0,"Wild animus is a search for the primordial, a test of human
foundations and a journey to the breaking point.",en,Fiction,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,2.9
0345402871,Airframe,Michael Crichton,1997.0,"A fatal mid-air collision involving a commercial airliner prompts a
frantic, desperate investigation into the causes of the accident, in a
thriller exploring the issue of safety and security in the aircraft
industry",en,Fiction,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,3.3
